id,evidence_item_id,question_key,label,question_type,required,placeholder,options,sort_order,control_id,rows,accept,upload_label,cscf_version,created_at,guide,show_when_question,show_when_values,evidence_required_raw,evidence_source,collection_method,aws_auto_level,aws_services,question_level_aws_sources,reason_rationale,gcs_auto_level,gcs_services,question_level_gcs_sources
05a9a157-1edf-4f66-8097-5fb6e648ab34,A2,evidence_document,SWIFT Component Inventory Upload,file,False,,[],0,,,".pdf,.xlsx,.csv,.ods","Upload the SWIFT component inventory (XLSX, CSV, or PDF). Must include hostname, IP, OS, function, physical/virtual flag, and third-party managed flag for every system.",2025v,2025-03-01T00:00:00Z,Upload the SWIFT component inventory as a structured spreadsheet or CMDB extract.,,[],Document/File Upload,"AWS + Human, GCS + Human",Mixed (Multi-Cloud + Human),HIGH,"Amazon VPC, EC2, AWS Config, Systems Manager","ec2:DescribeInstances, ssm:GetInventory, config:ListDiscoveredResources",AWS Systems Manager Inventory and Config can enumerate running instances and configurations to auto-populate a baseline inventory.,HIGH,"Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config","Supporting config data: Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config"
0a66bb8b-8476-40bf-8454-88d2dc2240cd,A2,inventory_rows,SWIFT Component Inventory (structured rows),spreadsheet,True,,"[{""key"": ""hostname"", ""type"": ""text"", ""label"": ""Hostname"", ""required"": true, ""placeholder"": ""e.g. SWIFT-MSG-01""}, {""key"": ""role"", ""type"": ""text"", ""label"": ""Role / Function"", ""required"": true, ""placeholder"": ""e.g. Messaging Interface (Alliance Access)""}, {""key"": ""os"", ""type"": ""text"", ""label"": ""Operating System"", ""required"": true, ""placeholder"": ""e.g. Windows Server 2022 / RHEL 8.9""}, {""key"": ""ip_address"", ""type"": ""text"", ""label"": ""IP Address"", ""required"": true, ""placeholder"": ""e.g. 10.10.1.10""}, {""key"": ""zone"", ""type"": ""text"", ""label"": ""Zone / Segment"", ""required"": true, ""placeholder"": ""e.g. Secure Zone (VLAN 100)""}, {""key"": ""physical_virtual"", ""type"": ""select"", ""label"": ""Physical / Virtual"", ""options"": [""Physical"", ""Virtual (VMware)"", ""Virtual (Hyper-V)"", ""Cloud (IaaS)"", ""Container""], ""required"": true}, {""key"": ""vendor"", ""type"": ""text"", ""label"": ""Vendor"", ""required"": true, ""placeholder"": ""e.g. SWIFT / Thales / Palo Alto / Dell""}, {""key"": ""model_version"", ""type"": ""text"", ""label"": ""Model / Software Version"", ""required"": true, ""placeholder"": ""e.g. Alliance Access 7.5.28""}, {""key"": ""mfa_required"", ""type"": ""select"", ""label"": ""MFA Required?"", ""options"": [""Yes"", ""No"", ""Not Applicable""], ""required"": true}, {""key"": ""last_hardening"", ""type"": ""date"", ""label"": ""Last Hardening Check"", ""required"": true, ""placeholder"": ""YYYY-MM-DD""}, {""key"": ""third_party"", ""type"": ""select"", ""label"": ""Third-Party Managed?"", ""options"": [""Yes"", ""No""], ""required"": true}, {""key"": ""third_party_name"", ""type"": ""text"", ""label"": ""Third-Party Name (if Yes)"", ""required"": false, ""placeholder"": ""e.g. CyberArk / Equinix""}, {""key"": ""swift_component"", ""type"": ""select"", ""label"": ""SWIFT-Defined Component?"", ""options"": [""Yes — messaging interface"", ""Yes — communication interface"", ""Yes — GUI / operator workstation"", ""Yes — HSM"", ""Yes — jump server"", ""Yes — firewall / network device"", ""No — supporting infrastructure""], ""required"": true}, {""key"": ""notes"", ""type"": ""text"", ""label"": ""Notes / Justification"", ""required"": false, ""placeholder"": ""Any additional context, exceptions, or justification""}]",1,,,,,2025v,2025-03-01T00:00:00Z,"Fill in every in-scope system row — hostname, IP, OS, role, zone, physical/virtual, and third-party flags are all required.",,[],Structured Inventory/Spreadsheet,"AWS, GCS",Automated (Multi-Cloud),HIGH,"Amazon VPC, EC2, Systems Manager, AWS Config","ec2:DescribeInstances, ssm:GetInventory, config:ListDiscoveredResources",AWS can auto-populate instance metadata; human review required to confirm SWIFT role assignments and zone placement.,HIGH,"Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config",cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Instance) | sqladmin.instances.list | cloudasset.assets.searchAllResources (assetType=run.googleapis.com/Service)
fd3eda92-5538-474a-9a83-e3df22fc31d5,A2,exclusion_justification,Systems excluded from the secure zone — with justification,textarea,True,e.g. Justified due to operational requirement; compensating controls applied and documented.,[],2,,4.0,,,2025v,2025-03-01T00:00:00Z,"For any system intentionally excluded from the secure zone, provide the hostname and a CSCF-aligned business/technical justification.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config",Exclusion justifications are authored by the security team; no AWS automation can determine business intent.,HIGH,"Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config","Context data: Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config"
8edd3203-e139-4524-8ef7-2544a8b0b1dc,A2,co_hosting_notes,Co-hosting decisions — non-SWIFT systems co-located in the zone,textarea,True,e.g. [Enter your response here — one or two sentences describing the relevant detail].,[],3,,4.0,,,2025v,2025-03-01T00:00:00Z,List any non-SWIFT systems co-hosted in the secure zone and confirm they receive equivalent security controls.,,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config",Co-hosting decisions are documented by the architecture team.,HIGH,"Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config","Context data: Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config"
cd4c264c-a939-464f-84d1-d42faeb030a1,A2,customer_connector_details,Customer connector and client connector details (advisory — v2025),textarea,False,"e.g. Alliance Connect Gold (server-side); handles payment initiation, TLS mutual auth.",[],4,,4.0,,,2025v,2025-03-01T00:00:00Z,"Advisory in v2025. List all customer connectors with type, hostname, version, and architecture classification. Customer client connectors are advisory in-scope under v2025.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),MEDIUM,,,"Customer client connectors are advisory in-scope under v2025 (bracket notation in 1.1, 1.2, 2.3, etc.).",HIGH,"Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config","Context data: Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config"
5c00cce5-573c-449c-b1dd-34165b2cb538,A2,third_party_flags,Third-party managed systems flagged in inventory?,select,True,,"[""Yes"", ""No"", ""Partial""]",5,,,,,2025v,2025-03-01T00:00:00Z,Confirm that every system managed by a third party is flagged as such in the inventory — these systems have implications for Control 2.8.,,[],Configuration state confirmation (Yes/No/Status),"AWS, GCS",Automated (Multi-Cloud),HIGH,"Amazon VPC, EC2, AWS Config","EC2, Config",AWS can tag instances; human review required to confirm third-party management status.,HIGH,"Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config",cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Instance) | sqladmin.instances.list | cloudasset.assets.searchAllResources (assetType=run.googleapis.com/Service)
ff7bbc43-a006-4f39-98de-fb467c539190,A2,known_gaps,Known inventory gaps and remediation plan,textarea,False,e.g. No gaps identified; all controls meet CSCF v2026 requirements.,[],6,,4.0,,,2025v,2025-03-01T00:00:00Z,"Document any inventory discrepancies, pending additions, or components not yet fully captured, with expected completion dates.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),NONE,,,Gap logging is an institutional record.,HIGH,"Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config","Context data: Compute Engine, Cloud SQL, Cloud Load Balancing, Cloud Run, Cloud Asset Inventory, OS Config"
130b47f5-8105-4090-b445-d407a6042ddb,B1,hardening_check_dates,Dates of the last two hardening compliance checks (required: at least twice per year),text,True,"Format: YYYY-MM-DD, YYYY-MM-DD (most recent first)",[],11,,,,,2025v,2025-03-01T00:00:00Z,Provide the dates of the two most recent hardening checks — at least two checks per year are required.,,[],Short text / identifier / value,GCS,Automated (GCP),HIGH,,,Check dates are institutional compliance records.,HIGH,"OS Config (VM Manager), Security Command Center, Cloud Asset Inventory",osconfig.inventories.list (parent=projects/.../instances/-) | osconfig.vulnerabilityReports.list | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Instance) — check shieldedInstanceConfig
6966e965-739f-4a58-af98-7064d8bdcaa7,A3,evidence_document,Data Flow Diagram Upload,file,False,,[],0,,,".pdf,.png,.jpg,.jpeg,.vsdx,.drawio,.svg,.pptx","Upload the data flow diagram (PDF/Visio/PNG). Must show direction, protocol, encryption method, and whether flows cross the zone boundary.",2025v,2025-03-01T00:00:00Z,"Upload the SWIFT data flow diagram showing all flows between SWIFT components, back-office systems, and external destinations.",,[],Document/File Upload,"AWS + Human, GCS + Human",Mixed (Multi-Cloud + Human),MEDIUM,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config",AWS VPC Flow Logs can supplement but not replace the annotated data flow diagram.,MEDIUM,"VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory","Supporting config data: VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory"
2a784c98-5116-4983-964b-7201e2f363d8,A3,flow_inventory_notes,Internal data flow inventory — flows not visible on diagram,textarea,True,"e.g. Item 1: [name, version, role]; Item 2: [name, version, role].",[],1,,4.0,,,2025v,2025-03-01T00:00:00Z,"For each internal SWIFT-to-SWIFT flow not fully visible on the diagram, provide source, destination, direction, protocol, and encryption method.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),MEDIUM,"Amazon VPC, EC2, AWS Config","VPC Flow Logs, EC2, Config",VPC Flow Logs provide network traffic data; human annotation required for protocol and encryption details.,MEDIUM,"VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory","Context data: VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory"
7d1deefa-58c0-473a-a80f-f90796621ff7,A3,encryption_method_summary,Encryption method summary per flow type,textarea,True,e.g. TLS 1.3 with AES-256-GCM for all internal flows; certificates renewed annually.,[],2,,4.0,,,2025v,2025-03-01T00:00:00Z,State the TLS version and cipher suite for each flow category — confirm all zone-crossing flows are encrypted.,,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),MEDIUM,"Amazon VPC, EC2, AWS Config","VPC Flow Logs, ACM, EC2",AWS ACM can show certificate details; encryption method per flow requires human documentation.,MEDIUM,"VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory","Context data: VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory"
97327d65-4dc8-44c9-bbd9-71f04238e798,A3,backoffice_flow_inventory,Back-office data flow inventory (advisory — Control 2.4A),textarea,False,e.g. Alliance Access → ERP Gateway | TLS 1.3 | AES-256-GCM | Protected; Advisory Control 2.4A.,[],3,,4.0,,,2025v,2025-03-01T00:00:00Z,"Advisory in v2025 under Control 2.4A. Document back-office flows: source, destination, protocol, encryption status. SWIFT recommends identifying flows now as preparation for v2026 mandatory requirement.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),LOW,,,Control 2.4A is advisory in v2025. Early inventory documentation is strongly recommended by SWIFT.,MEDIUM,"VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory","Context data: VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory"
4a8d2c73-d675-4a0b-b8d0-42aeec5a7f2a,A3,external_transmission_paths,"External transmission paths — backups, replication (advisory — Control 2.5A)",textarea,False,e.g. [Enter your response here — one or two sentences describing the relevant detail].,[],4,,4.0,,,2025v,2025-03-01T00:00:00Z,"Advisory in v2025 under Control 2.5A. Describe backup replication, data extract, or offline processing paths from the secure zone to external destinations.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),LOW,,,Control 2.5A is advisory in v2025.,MEDIUM,"VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory","Context data: VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory"
f588a6ed-1de3-43f9-8deb-870bc84eb6bf,A3,known_gaps,Known documentation gaps and remediation plan,textarea,False,e.g. No gaps identified; all controls meet CSCF v2026 requirements.,[],5,,4.0,,,2025v,2025-03-01T00:00:00Z,"Document any inventory discrepancies, pending additions, or components not yet fully captured.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),NONE,,,Gap logging is an institutional record.,MEDIUM,"VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory","Context data: VPC Flow Logs, Cloud Logging, Network Connectivity Center, Cloud Asset Inventory"
9ffe9edd-b1b0-4b37-87b4-0f1bc208a1b4,A4,evidence_document,Firewall Rule Set Export Upload,file,False,,[],0,,,".pdf,.png,.jpg,.jpeg,.txt,.csv,.xlsx","Upload the firewall rule set export (PDF, text, or screenshot). Must cover all boundaries: secure zone ↔ enterprise IT, secure zone ↔ internet, customer connector zone (if A1).",2025v,2025-03-01T00:00:00Z,Upload firewall rule set exports for all zone boundaries.,,[],Document/File Upload,"AWS + Human, GCS + Human",Mixed (Multi-Cloud + Human),HIGH,"Amazon VPC, EC2, AWS Config","ec2:DescribeSecurityGroups, DescribeNetworkAcls, DescribeRouteTables",AWS Config and EC2 can export Security Group and NACL rules automatically.,HIGH,"Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center","Supporting config data: Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center"
f520780c-87c8-478c-9f73-1b3b9414ac7f,A4,firewall_inventory,Firewall inventory — all firewalls at secure zone boundaries,textarea,True,e.g. FW-SWIFT-01 (Palo Alto PA-5260) — secure zone perimeter; FW-SWIFT-02 — internal segment.,[],1,,4.0,,,2025v,2025-03-01T00:00:00Z,"List all firewalls protecting secure zone boundaries — device name, vendor, firmware version, and placement.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),HIGH,"Amazon VPC, EC2, AWS Config","EC2, VPC, AWS Config",Firewall inventory is an institutional record authored by the network team.,HIGH,"Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center","Context data: Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center"
32bf6213-7d81-44ed-9cae-5931d3db6db3,A4,deny_default_confirmation,Deny-by-default posture confirmed for all rule sets?,select,True,,"[""Yes"", ""No"", ""Partial""]",2,,,,,2025v,2025-03-01T00:00:00Z,Confirm whether an explicit deny-all rule appears at the end of every firewall/ACL ruleset.,,[],Configuration state confirmation (Yes/No/Status),"AWS, GCS",Automated (Multi-Cloud),HIGH,"Amazon VPC, EC2, AWS Config","ec2:DescribeNetworkAcls, DescribeSecurityGroups — look for explicit deny-all or absence of allow-all rules",AWS can enumerate Security Group and NACL rules to check for deny-by-default posture.,HIGH,"Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center",cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Firewall) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/NetworkFirewallPolicy) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/SecurityPolicy)
22c75773-78a4-47be-811d-1459aa18ece2,A4,allow_any_exceptions,Any permit-any or overly permissive rules present?,textarea,True,e.g. [Enter your response here — one or two sentences describing the relevant detail].,[],3,,4.0,,,2025v,2025-03-01T00:00:00Z,"List any permit-any or allow-any-any rules, justify each, and confirm compensating controls.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),HIGH,"Amazon VPC, EC2, AWS Config","SecurityGroups, NACLs, Config",Permissive rule justifications require human authorship.,HIGH,"Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center","Context data: Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center"
20599982-761d-4823-b5ee-db59cc05bd56,A4,internet_deny_confirmation,Outbound internet explicitly denied from the secure zone?,select,True,,"[""Yes"", ""No"", ""Exception documented""]",4,,,,,2025v,2025-03-01T00:00:00Z,Confirm whether outbound internet access from the secure zone is explicitly blocked by firewall rule.,,[],Configuration state confirmation (Yes/No/Status),"AWS, GCS",Automated (Multi-Cloud),HIGH,"Amazon VPC, EC2, AWS Config","ec2:DescribeRouteTables, DescribeInternetGateways, DescribeNatGateways",AWS can check whether route tables associate the secure zone subnets with an Internet Gateway.,HIGH,"Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center",cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Firewall) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/NetworkFirewallPolicy) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/SecurityPolicy)
a33c4953-23ff-463e-96d4-a829faab0e7c,A4,logging_enabled_boundary,Connection logging enabled on boundary firewall rules?,select,True,,"[""Yes"", ""No"", ""Partial""]",5,,,,,2025v,2025-03-01T00:00:00Z,Confirm whether all boundary firewall rules log accepted and/or denied connections.,,[],Configuration state confirmation (Yes/No/Status),"AWS, GCS",Automated (Multi-Cloud),HIGH,"Amazon VPC, EC2, AWS Config, CloudTrail",ec2:DescribeFlowLogs — VPC Flow Logs enabled for secure zone VPCs?,AWS VPC Flow Logs confirm logging at the network layer.,HIGH,"Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center",cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Firewall) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/NetworkFirewallPolicy) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/SecurityPolicy)
f1e00f4e-2aba-4da5-aef6-0d44049c4d6b,A4,annual_review_date,Last annual firewall rule review date,date,True,YYYY-MM-DD,[],6,,,,,2025v,2025-03-01T00:00:00Z,Enter the date the firewall rules were last reviewed — annual review is required.,,[],Date confirmation,GCS + Human,Mixed (GCP + Human),HIGH,,,Review dates are institutional records.,HIGH,"Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center",Timestamp metadata: cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Firewall)
10169673-5ba9-40d4-a2d9-b395c84d81a0,A4,annual_review_reviewer,Review performed by (name and role),text,True,"e.g. John Smith, Network Security Manager",[],7,,,,,2025v,2025-03-01T00:00:00Z,State the name and role of the person who performed the firewall rule review.,,[],Short text / identifier / value,GCS,Automated (GCP),NONE,,,Reviewer identity is an institutional record.,HIGH,"Compute Engine (Firewall), Cloud Armor, Cloud Asset Inventory, Security Command Center",cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Firewall) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/NetworkFirewallPolicy) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/SecurityPolicy)
