item_code,control_id,evidence_item_name,control_name,ma,evidence_type,sufficiency_criteria,evaluation_criteria,cscf_version,created_at
A4,1.5,Firewall rule sets,Customer Environment Protection,M,Config Export,"{
  ""sufficiency_criteria"": [
    ""Segmentation rules between customer connector zone and enterprise network"",
    ""Deny-by-default for customer zone boundary equivalent to 1.1 protection"",
    ""Only explicitly permitted traffic between customer zone and enterprise"",
    ""Segmentation rules between customer zone and main SWIFT secure zone"",
    ""Annual review evidence for customer zone firewall rules""
  ]
}","{
  ""pass_if"": [
    ""Customer zone has deny-by-default equivalent to main zone"",
    ""Explicit rules only for permitted traffic""
  ],
  ""fail_if"": [
    ""No firewall rules for customer zone boundary""
  ],
  ""applicability"": [
    ""Architecture A1""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A6,1.1,Secure zone design rationale,SWIFT Environment Protection,M,Document,"{
  ""sufficiency_criteria"": [
    ""Written rationale for WHY specific zone boundaries were drawn at those points"",
    ""Reference to SWIFT Security Guidance and/or CSCF Appendix B reference architectures"",
    ""Justification for zone scope: why certain systems are included/excluded"",
    ""Explanation of segmentation approach chosen (dedicated SWIFT zone vs extended production zone vs payment zone)"",
    ""Authentication zone separation rationale: why separate AD/LDAP used"",
    ""Risk assessment for any shared components or services crossing zone boundary"",
    ""Documentation of co-hosting decisions: non-SWIFT systems in zone with justification""
  ]
}","{
  ""pass_if"": [
    ""Written rationale exists referencing SWIFT guidance"",
    ""Zone scope justified with inclusion/exclusion reasoning"",
    ""Segmentation approach explained""
  ],
  ""fail_if"": [
    ""No written rationale document"",
    ""Zone design contradicts CSCF guidance without justification""
  ],
  ""cross_checks"": [
    ""Rationale aligns with actual zone shown in A1""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B1,1.2,OS hardening configuration,OS Privileged Account Control,M,Config / Screenshots,"{
  ""sufficiency_criteria"": [
    ""Privileged account restriction settings per mandatory in-scope system type: sudo configuration, UAC settings, admin group memberships"",
    ""Built-in administrator account status: disabled for interactive login or restricted to controlled/emergency use only"",
    ""Individual administrator accounts configured with privilege escalation (sudo/UAC) rather than shared admin accounts"",
    ""Service account restrictions: minimal privileges, no interactive login where possible"",
    ""Privilege elevation logging enabled: sudo logs on Linux, Windows security event log for UAC"",
    ""Admin password storage: stored in zone-local authentication (not enterprise AD)"",
    ""Network device admin access: not using enterprise authentication system; out-of-band or controlled in-band preferred"",
    ""Mandatory scope (v2025): OS accounts on SWIFT servers/VMs, dedicated operator PCs, network devices, virtualisation/cloud platform, new HSM"",
    ""Advisory scope (v2025): customer client connectors, bridging servers, general-purpose operator PCs \u2014 inclusion earns positive assessor credit""
  ]
}","{
  ""pass_if"": [
    ""Built-in admin accounts disabled for normal interactive login or restricted to controlled/emergency use"",
    ""Individual admin accounts with sudo/escalation configured \u2014 no shared admin accounts"",
    ""Privilege elevation events logged on all mandatory in-scope systems"",
    ""Admin passwords stored in zone-local authentication (not enterprise AD)"",
    ""Network device administration does not use enterprise authentication system""
  ],
  ""fail_if"": [
    ""Built-in admin account enabled for routine interactive login"",
    ""Shared admin accounts without individual accountability"",
    ""No privilege elevation logging on mandatory in-scope systems"",
    ""Zone system admin passwords stored in enterprise AD""
  ],
  ""notes"": [
    ""One OS config export per SWIFT system type in A2 inventory"",
    ""Advisory scope items (bridging servers, customer client connectors, general-purpose PCs) noted positively if included""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A6,1.5,Secure zone design rationale,Customer Environment Protection,M,Document,"{
  ""sufficiency_criteria"": [
    ""Rationale for customer connector zone design choices"",
    ""Explanation of why equivalent protection to main secure zone is achieved"",
    ""Justification for segmentation between customer zone and main SWIFT zone"",
    ""Risk assessment for customer zone scope decisions""
  ]
}","{
  ""pass_if"": [
    ""Customer zone rationale documents equivalent protection"",
    ""Segmentation approach justified""
  ],
  ""fail_if"": [
    ""No rationale for customer zone design""
  ],
  ""applicability"": [
    ""Architecture A1""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B1,2.3,OS hardening configuration,System Hardening,M,Config / Screenshots,"{
  ""sufficiency_criteria"": [
    ""Hardening baseline applied and identified: CIS benchmark, DISA STIG, NIST, or SWIFT Security Guidance"",
    ""Default passwords changed on all mandatory in-scope systems"",
    ""Unnecessary user accounts disabled or removed"",
    ""Unnecessary services, ports, and protocols disabled or restricted"",
    ""Unnecessary software removed"",
    ""Physical ports restricted (USB, serial): disabled where not operationally required"",
    ""Auto-lock configured: screen saver/lock after \u226415 minutes inactivity"",
    ""Default vulnerable configurations adjusted per baseline"",
    ""Deviations from baseline documented with justification and mitigating controls"",
    ""Hardening checks performed at least twice per year (evidence of last two checks required)"",
    ""Mandatory scope (v2025): dedicated and general-purpose operator PCs, jump server, systems hosting SWIFT components (interfaces, GUI, Swift/customer connectors), network devices protecting the secure zone, virtualisation/cloud platform"",
    ""Advisory scope (v2025): customer client connectors, bridging servers (middleware servers) \u2014 inclusion earns positive assessor credit"",
    ""Note: Swift HSMs are FIPS 140-2 Level 3 compliant and are OUT of scope for this control""
  ]
}","{
  ""pass_if"": [
    ""Named hardening baseline applied to all mandatory in-scope system types"",
    ""Default passwords changed on all mandatory in-scope systems"",
    ""Unnecessary services/ports/software removed or disabled"",
    ""USB/removable media restricted on secure zone systems"",
    ""Auto-lock \u226415 minutes configured"",
    ""Deviations documented with justification and compensating control"",
    ""Evidence of at least two hardening checks in the past 12 months""
  ],
  ""fail_if"": [
    ""Default passwords still active on mandatory in-scope systems"",
    ""Unnecessary services running (e.g., FTP, Telnet, print spooler) without justification"",
    ""No auto-lock or timeout >15 minutes"",
    ""USB ports unrestricted on secure zone systems"",
    ""No named hardening baseline identified""
  ],
  ""notes"": [
    ""One config export per SWIFT system type in A2"",
    ""Advisory scope items noted positively if included""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B2,2.6,SWIFT application security config,Operator Session Confidentiality,M,Config / Screenshots,"{
  ""sufficiency_criteria"": [
    ""Encrypted session configuration for all operator connections: TLS version (1.2+), SSH version"",
    ""Cipher suites configured: current accepted algorithms (AES, ECDHE)"",
    ""GUI access security settings: HTTPS enforced, certificate validation enabled"",
    ""Session timeout/inactivity lock-out configured at application level"",
    ""Jump server to application connection protection: TLS or equivalent"",
    ""Sessions to remote/hosted SWIFT applications also encrypted"",
    ""Weak/deprecated protocols disabled (SSLv3, TLS 1.0/1.1, RC4, DES)""
  ]
}","{
  ""pass_if"": [
    ""TLS 1.2+ enforced for all operator sessions"",
    ""Strong cipher suites only (AES-256, ECDHE)"",
    ""Session timeout configured"",
    ""Weak protocols disabled""
  ],
  ""fail_if"": [
    ""TLS 1.0/1.1 still enabled"",
    ""Weak ciphers present (RC4, DES, 3DES)"",
    ""No session timeout configured""
  ],
  ""cross_checks"": [
    ""Aligns with B3 transport-level encryption config""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B2,2.10,SWIFT application security config,Application Hardening,M,Config / Screenshots,"{
  ""sufficiency_criteria"": [
    ""SWIFT application hardened per Alliance Security Guidance or vendor documentation"",
    ""Default application passwords changed"",
    ""Unnecessary user accounts disabled or removed"",
    ""Unnecessary application components, adaptors, or connectivity methods disabled"",
    ""Adaptors and connectivity methods securely configured"",
    ""Remote connections securely configured"",
    ""Unnecessary packages removed"",
    ""Default vulnerable configurations adjusted"",
    ""Application deviations from hardening guidance documented with justification"",
    ""Credential/key protection for application-to-application flows confirmed""
  ]
}","{
  ""pass_if"": [
    ""Alliance Security Guidance applied"",
    ""Default passwords changed at application level"",
    ""Unnecessary adaptors/components disabled"",
    ""Deviations documented""
  ],
  ""fail_if"": [
    ""Default application passwords still active"",
    ""Unnecessary connectivity methods enabled"",
    ""No evidence of vendor guidance application""
  ],
  ""cross_checks"": [
    ""Compare against B6 baseline comparison results""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B3,2.1,Encryption configuration,Internal Data Flow Security,M,Config Export,"{
  ""sufficiency_criteria"": [
    ""Encryption configuration for each internal SWIFT-to-SWIFT component flow:"",
    ""- Local RMA ↔ messaging interface"",
    ""- GUI ↔ messaging interface"",
    ""- GUI ↔ communication interface"",
    ""- Messaging ↔ communication interface"",
    ""Per-flow detail: TLS version, cipher suite, certificate type (mutual/one-way)"",
    ""LAU configuration if used (in combination with TLS)"",
    ""Cross-environment flow encryption (on-prem to cloud)"",
    ""Cryptographic algorithm validation: AES, ECDHE with current key lengths"",
    ""Credential/key protection method for flow security""
  ]
}","{
  ""pass_if"": [
    ""Every inter-component flow has encryption config documented"",
    ""TLS 1.2+ with strong ciphers for each flow"",
    ""Cross-environment flows encrypted""
  ],
  ""fail_if"": [
    ""Any flow without encryption configured"",
    ""Weak TLS versions or cipher suites"",
    ""Self-signed certificates without justification""
  ],
  ""cross_checks"": [
    ""Flows must match A3 data flow diagrams""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B3,2.4A,Encryption configuration,Back Office Data Flow Security,A,Config Export,"{
  ""sufficiency_criteria"": [
    ""ADVISORY in v2025 (Control 2.4A) \u2014 mandatory from v2026"",
    ""Encryption/protection config for each documented back-office to secure zone flow where available:"",
    ""\u2014 End-to-end protection options: LAU, XML DSIG, AES-GCM, or authenticated API over TLS"",
    ""\u2014 Per-leg protection: TLS config per segment for flows through bridging servers"",
    ""Two-way TLS configuration for direct point-to-point flows (where implemented)"",
    ""Bridging server TLS config for each leg (back-office \u2192 bridging \u2192 SWIFT) where deployed"",
    ""Flow-to-HSM encryption config where applicable"",
    ""For any unprotected legacy flows: risk assessment and migration plan documented (advisory)"",
    ""Key management approach per flow noted where documented""
  ]
}","{
  ""pass_if"": [
    ""Encryption config documented per implemented back-office flow (advisory \u2014 not required for v2025 pass)"",
    ""Current cryptographic algorithms used where implemented"",
    ""Unprotected legacy flows have risk assessment and migration plan""
  ],
  ""fail_if"": [
    ""No score penalty in v2025 for absence \u2014 this is advisory"",
    ""If documented: back-office flows with no encryption evidence flagged for remediation""
  ],
  ""notes"": [
    ""Advisory control in v2025 \u2014 mandatory from v2026"",
    ""Cross-checks: flows match A3 diagrams; bridging servers match A2""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A1,1.5,Network architecture diagram,Customer Environment Protection,M,Diagram + Text,"{
  ""sufficiency_criteria"": [
    ""Customer connector zone boundaries drawn with equivalent protection to main secure zone (A1 architecture only)"",
    ""Firewall or ACL shown at boundary between customer connector zone and enterprise network"",
    ""Segmentation between customer connector zone and main SWIFT secure zone visible"",
    ""Customer connector, dedicated PCs, jump server (and HSM if applicable) positioned in the customer zone"",
    ""Alliance Connect VPN placement shown in a secured environment"",
    ""General-purpose PCs shown outside the customer zone"",
    ""Note (v2025): Customer client connectors are advisory in-scope \u2014 their inclusion on the diagram is advisory, not mandatory""
  ]
}","{
  ""pass_if"": [
    ""Customer connector zone has an explicit boundary with firewall/ACL protection equivalent to main zone"",
    ""Segmentation between customer zone and main SWIFT zone visible"",
    ""Customer zone design rationale confirmed in A6""
  ],
  ""fail_if"": [
    ""Customer connector floating outside any zone boundary without justification"",
    ""No firewall or ACL between customer zone and enterprise network""
  ],
  ""applicability"": [
    ""Architecture A1 only""
  ],
  ""cross_checks"": [
    ""Customer zone firewall rules in A4"",
    ""Customer zone design rationale in A6""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B3,2.5A,Encryption configuration,External Transmission Data Protection,A,Config Export,"{
  ""sufficiency_criteria"": [
    ""ADVISORY in v2025 (Control 2.5A)"",
    ""Encryption-in-transit config for external transmissions where documented: TLS 1.2+ with strong ciphers"",
    ""Encryption-at-rest config for SWIFT data stored outside secure zone: AES-256 or equivalent where applicable"",
    ""Backup encryption configuration: encryption method and key management noted where implemented"",
    ""Data replication encryption between data centres or to cloud where applicable"",
    ""SAN/NAS encryption config noted if SWIFT data traverses SAN/NAS"",
    ""Key management for at-rest encryption documented where implemented""
  ]
}","{
  ""pass_if"": [
    ""Transit encryption TLS 1.2+ for documented external paths (advisory \u2014 not required for v2025 pass)"",
    ""At-rest encryption for backups and replicated data where implemented""
  ],
  ""fail_if"": [
    ""No score penalty in v2025 for absence \u2014 this is advisory"",
    ""If backups exist outside zone: no encryption is a finding worth noting""
  ],
  ""notes"": [
    ""Advisory control in v2025""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B3,2.6,Encryption configuration,Operator Session Confidentiality,M,Config Export,"{
  ""sufficiency_criteria"": [
    ""Transport-level encryption config for ALL mandatory operator session types in v2025:"",
    ""\u2014 Operator PC \u2192 jump server: SSH/TLS version and cipher suite"",
    ""\u2014 Jump server \u2192 SWIFT applications: TLS version and cipher suite"",
    ""\u2014 Operator PC \u2192 browser GUI: HTTPS/TLS config"",
    ""\u2014 Remote VPN encryption config for remote operator access"",
    ""TLS version and cipher suite per session type (minimum TLS 1.2 with 1.0/1.1 disabled)"",
    ""Certificate configuration: type, validation enforcement, expiry monitoring process"",
    ""Weak/deprecated protocols disabled at transport level (SSLv3, TLS 1.0/1.1, Telnet)"",
    ""Note (v2025): sessions to bridging servers not explicitly named in Control 2.6 scope \u2014 advisory if documented""
  ]
}","{
  ""pass_if"": [
    ""Every mandatory operator session type has TLS 1.2+ with strong ciphers"",
    ""Certificate validation enforced"",
    ""Weak protocols disabled at transport level""
  ],
  ""fail_if"": [
    ""Unencrypted session types in mandatory scope (plain HTTP, Telnet)"",
    ""TLS 1.0/1.1 still enabled"",
    ""Weak cipher suites present (RC4, DES, 3DES)""
  ],
  ""notes"": [
    ""B2 = application-level session settings; B3 = transport-level encryption config"",
    ""Bridging server session encryption is advisory in v2025 \u2014 noted positively if included""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B4,1.3,Virtualisation platform configuration,Virtualisation/Cloud Platform Protection,M,Config Export / Screenshots,"{
  ""sufficiency_criteria"": [
    ""Hypervisor/cloud platform security configuration showing equivalent protection to physical systems"",
    ""VM isolation configuration: prevents lateral movement between VMs"",
    ""Network flow filtering for SWIFT VMs: external to hypervisor or enforced at hypervisor level"",
    ""Platform located in secure zone or equivalent secure zone"",
    ""Privileged access restrictions on virtualisation platform"",
    ""Login and password policies applied to platform admin accounts"",
    ""Security update status of hypervisor/platform"",
    ""MFA for interactive VM access (or at platform level if not at VM level)"",
    ""Physical protection of underlying hardware"",
    ""Container isolation if containerised applications are present"",
    ""When third-party hosted: evidence of reasonable comfort from provider""
  ]
}","{
  ""pass_if"": [
    ""VM isolation configured and verified"",
    ""Platform in secure zone with equivalent controls"",
    ""Privileged access restricted on platform"",
    ""Platform patched and updated""
  ],
  ""fail_if"": [
    ""No VM isolation evidence"",
    ""Platform outside any secure zone"",
    ""Default admin credentials on platform"",
    ""Third-party hosted without comfort evidence""
  ],
  ""cross_checks"": [
    ""VMs match A2 inventory host/guest mapping""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B5,4.1,Password policy configuration,Password Policy,M,Config / Screenshots,"{
  ""sufficiency_criteria"": [
    ""Password policy settings enforced through technical means (AD Group Policy, application settings):"",
    ""- Password length (minimum 15+ characters recommended for Windows to prevent LM hash)"",
    ""- Password complexity requirements"",
    ""- Password expiration period"",
    ""- Password history/reuse prevention"",
    ""- Account lockout after failed attempts (threshold + lockout duration + remedy)"",
    ""PIN settings for tokens and mobile devices used as second factor"",
    ""Separate policy considerations for:"",
    ""- General operator accounts"",
    ""- Privileged/administrator accounts (stricter)"",
    ""- Application-to-application accounts"",
    ""- Local authentication keys"",
    ""Passwords for zone systems stored only in zone-local authentication (not enterprise AD)"",
    ""LM hash prevention configured (NoLMHash registry on Windows)"",
    ""Policy review evidence: reviewed annually""
  ]
}","{
  ""pass_if"": [
    ""Password length ≥15 chars for Windows systems"",
    ""Complexity, expiration, history all enforced technically"",
    ""Account lockout configured with reasonable threshold"",
    ""NoLMHash enabled on Windows"",
    ""Zone passwords in zone-local auth only""
  ],
  ""fail_if"": [
    ""Password length <8 characters"",
    ""No complexity requirement"",
    ""No account lockout"",
    ""Passwords stored in enterprise AD for zone systems"",
    ""LM hash not disabled on Windows""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A1,2.1,Network architecture diagram,Internal Data Flow Security,M,Diagram + Text,"{
  ""sufficiency_criteria"": [
    ""All data flow paths between SWIFT components annotated with direction arrows"",
    ""Flows between: Local RMA↔messaging interface, GUI↔messaging interface, GUI↔communication interface, messaging↔communication interface identified"",
    ""Each flow annotated with protocol indicator (e.g., LAU+TLS, two-way TLS)"",
    ""Flows spanning multiple environments (on-prem to cloud) explicitly shown"",
    ""Boundary crossing points where encryption is required clearly identified""
  ]
}","{
  ""pass_if"": [
    ""All inter-component data flows shown with direction"",
    ""Protocol type annotated per flow (even if summary level)"",
    ""Cross-environment flows highlighted""
  ],
  ""fail_if"": [
    ""Data flows between SWIFT components not shown"",
    ""No indication of encryption on flows crossing boundaries""
  ],
  ""cross_checks"": [
    ""Encryption details must be confirmed in B3 config exports""
  ],
  ""notes"": [
    ""A1 shows the TOPOLOGY; B3 proves the CONFIGURATION""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
B6,2.3,Hardening baseline comparison,System Hardening,M,Scan Report,"{
  ""sufficiency_criteria"": [
    ""Comparison results of current system config against selected hardening baseline (CIS/DISA STIG/NIST/vendor)"",
    ""Baseline name and version identified"",
    ""Per-system compliance score or pass/fail per hardening rule"",
    ""Deviations from baseline listed with: deviation description, justification, compensating control"",
    ""Scan date within last 6 months (checked at least twice per year per CSCF)"",
    ""All in-scope system types covered: servers, operator PCs, jump servers, network devices, virtualisation platform"",
    ""Remediation plan for high-risk deviations""
  ]
}","{
  ""pass_if"": [
    ""Identified baseline applied and compared"",
    ""Deviations documented with justification"",
    ""Scan date within 6 months"",
    ""All system types covered""
  ],
  ""fail_if"": [
    ""No baseline identified"",
    ""Deviations without justification"",
    ""Scan older than 6 months"",
    ""System types missing from comparison""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
