id,evidence_item_id,question_key,label,question_type,required,placeholder,options,sort_order,control_id,rows,accept,upload_label,cscf_version,created_at,guide,show_when_question,show_when_values,evidence_required_raw,evidence_source,collection_method,aws_auto_level,aws_services,question_level_aws_sources,reason_rationale
25bf6d7e-1c3e-4b57-b66a-1b50b2378816,A4,allow_any_exceptions,Any 'allow any' or overly permissive rules?,textarea,TRUE,If any permissive rules exist...,[],3,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"EC2, Network Firewall, WAF, AWS Config","Security Groups, NACLs, Network Firewall, WAF","While AWS (EC2, Network Firewall, WAF, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
6667c332-b364-4552-8c70-128942bcacca,A4,internet_deny_confirmation,Outbound internet explicitly denied from secure zone?,select,TRUE,,"[""Yes"", ""No""]",4,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"EC2, Network Firewall, WAF, AWS Config","Security Groups (outbound rules), NACLs, Route Tables (no default route to IGW) — ec2:DescribeSecurityGroups, DescribeNetworkAcls, DescribeRouteTables","AWS (EC2, Network Firewall, WAF, AWS Config) can automatically retrieve this configuration state. APIs: ec2:DescribeSecurityGroups, DescribeNetworkAcls, network-firewall:DescribeRuleGroup, wafv2:GetWebACL."
535941cc-8043-414e-9f23-da1aa2bbede4,A4,jump_server_internet_status,Jump server internet access status,select,TRUE,,"[""None"", ""Restricted"", ""Full"", ""N/A""]",5,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"EC2, Network Firewall, WAF, AWS Config","EC2 (jump server tag), Security Groups outbound rules, Route Table — ec2:DescribeInstances (jump-server tag), DescribeSecurityGroups, DescribeRouteTables","AWS (EC2, Network Firewall, WAF, AWS Config) can automatically retrieve this configuration state. APIs: ec2:DescribeSecurityGroups, DescribeNetworkAcls, network-firewall:DescribeRuleGroup, wafv2:GetWebACL."
28fca630-f708-453e-a183-98eb62ed60d3,A4,annual_review_date,Last annual firewall rule review date,date,TRUE,,[],6,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Date confirmation,Human,Manual (Human),HIGH,"EC2, Network Firewall, WAF, AWS Config","Security Groups, NACLs, Network Firewall, WAF","Review, approval, and policy dates are institutional records that must be confirmed by a responsible human owner."
3e981edd-86bf-4e8d-b72d-9deea1078a1e,A4,annual_review_reviewer,Review performed by,text,TRUE,Name and role of reviewer,[],7,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Short text / identifier / value,Human,Manual (Human),HIGH,"EC2, Network Firewall, WAF, AWS Config","Security Groups, NACLs, Network Firewall, WAF","Although AWS (EC2, Network Firewall, WAF, AWS Config) covers this domain, this specific field requests human judgment, policy confirmation, documentation attestation, or a process decision that AWS APIs cannot supply."
9b34f85d-ee20-4b12-aaba-ede9dbbf2e92,A4,shared_firewall_notes,Shared firewall status,textarea,TRUE,If firewalls also protect non-SWIFT zones...,[],8,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"EC2, Network Firewall, WAF, AWS Config","Security Groups, NACLs, Network Firewall, WAF","While AWS (EC2, Network Firewall, WAF, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
ba483f6b-f563-452f-8301-7210b3d9c4ab,A4,customer_zone_rule_summary,Customer zone firewall rules (A1 only),textarea,TRUE,Summarize customer zone boundary rules...,[],9,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"EC2, Network Firewall, WAF, AWS Config","Security Groups, NACLs, Network Firewall, WAF","While AWS (EC2, Network Firewall, WAF, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
f2643815-eb9b-4885-af9c-87c7b0ac4ce7,A4,known_exceptions,Known exceptions and remediation plan,textarea,TRUE,Document any rule exceptions...,[],10,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"EC2, Network Firewall, WAF, AWS Config","Security Groups, NACLs, Network Firewall, WAF","While AWS (EC2, Network Firewall, WAF, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
ca9df424-e2bc-4d0c-aaa6-c565d4b8fd4b,A5,evidence_document,Evidence upload,file,FALSE,,[],0,,,,Drop files or click to upload,2025v,2026-03-11T07:57:00.243642Z,,,[],Document/File Upload,Human,Manual (Human),NONE,,N/A — Human declaration required,Architecture type declaration (A1/A2/A3/A4) is a human business decision. AWS APIs cannot determine which CSCF architecture type applies to an institution. The uploaded document must be provided manually.
fdd3ce8a-27c6-4368-95e1-b3eb7963200e,A5,architecture_type,Declared architecture type,select,TRUE,,"[""A1"", ""A2"", ""A3"", ""A4"", ""B""]",1,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),Human,Manual (Human),NONE,,N/A — Human declaration required,Architecture type declaration (A1/A2/A3/A4) is a human business decision. AWS APIs cannot determine which CSCF architecture type applies to an institution. No AWS API can answer this question; human input required.
e8ff12e7-225a-49d2-8f16-c4d51d51ac1b,A5,selected_diagram,Selected diagram (from architecture selection),text,FALSE,,[],2,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Short text / identifier / value,Human,Manual (Human),NONE,,N/A — Human declaration required,Architecture type declaration (A1/A2/A3/A4) is a human business decision. AWS APIs cannot determine which CSCF architecture type applies to an institution. No AWS API can answer this question; human input required.
a53454be-7041-4054-9e8b-051d7d07ff23,A5,decision_rationale,Decision rationale,textarea,TRUE,Explain why this architecture type applies...,[],3,,4,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),NONE,,N/A — Human declaration required,"Architecture type declaration (A1/A2/A3/A4) is a human business decision. AWS APIs cannot determine which CSCF architecture type applies to an institution. Narrative, description, and justification text must be written by a qualified human reviewer."
9192ec70-2f5a-42a1-8c32-410e6fdc0143,A5,infrastructure_characteristics,Key infrastructure characteristics,textarea,TRUE,Describe how your infrastructure aligns...,[],4,,4,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),NONE,,N/A — Human declaration required,"Architecture type declaration (A1/A2/A3/A4) is a human business decision. AWS APIs cannot determine which CSCF architecture type applies to an institution. Narrative, description, and justification text must be written by a qualified human reviewer."
a44dbbb2-6835-481e-954f-5ada91b06f22,A5,bics,SWIFT BIC(s) covered by this assessment,textarea,TRUE,List BIC(s) in scope...,[],5,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),NONE,,N/A — Human declaration required,"Architecture type declaration (A1/A2/A3/A4) is a human business decision. AWS APIs cannot determine which CSCF architecture type applies to an institution. Narrative, description, and justification text must be written by a qualified human reviewer."
488ad3a8-f1c1-4186-84b7-30c6b7e9c674,A5,changes_from_previous,Changes from previous architecture type (if applicable),textarea,FALSE,If you previously declared a different architecture type...,[],6,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),NONE,,N/A — Human declaration required,"Architecture type declaration (A1/A2/A3/A4) is a human business decision. AWS APIs cannot determine which CSCF architecture type applies to an institution. Narrative, description, and justification text must be written by a qualified human reviewer."
26e33e68-84cd-4315-89ad-f327e5cd995c,A5,multiple_architectures,Multiple architectures per institution (Yes/No),select,FALSE,,"[""Yes"", ""No""]",7,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),Human,Manual (Human),NONE,,N/A — Human declaration required,Architecture type declaration (A1/A2/A3/A4) is a human business decision. AWS APIs cannot determine which CSCF architecture type applies to an institution. No AWS API can answer this question; human input required.
95f9d328-b21e-4195-92fc-98e2162e1eee,A6,evidence_document,Upload design rationale document,file,FALSE,,[],0,,,,Drop zone design rationale document or click to upload,2025v,2026-03-11T07:57:00.243642Z,,,[],Document/File Upload,AWS + Human,Mixed,MEDIUM,"Amazon VPC, AWS Config","VPC Architecture, Subnet Tiers, TGW Segmentation — ec2:DescribeVpcs, DescribeSubnets, DescribeRouteTables","AWS (Amazon VPC, AWS Config) can auto-generate the underlying configuration snapshot. However, a formatted, dated, human-reviewed document/file is still required for formal submission. AWS evidence supplements and validates the upload."
b8be6d69-359f-4d2e-8e40-b6fc8ef92087,A6,zone_boundary_rationale,Why were zone boundaries drawn at these specific points?,textarea,TRUE,Explain the rationale for your secure zone boundary placement...,[],1,,4,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"Amazon VPC, AWS Config","Amazon VPC, AWS Config","While AWS (Amazon VPC, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
dc9c63ee-063e-4dcd-87c9-334f87241e12,A6,swift_guidance_reference,SWIFT Security Guidance references,textarea,TRUE,List specific SWIFT Security Guidance sections...,[],2,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"Amazon VPC, AWS Config","Amazon VPC, AWS Config","While AWS (Amazon VPC, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
563f4d60-7680-4829-810f-bc51b8d8a008,A6,segmentation_approach,Segmentation approach,textarea,TRUE,,[],3,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"Amazon VPC, AWS Config","Amazon VPC, AWS Config","While AWS (Amazon VPC, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
dfa24ddd-0f87-488e-9ebf-c4995162d750,A6,auth_separation_rationale,Authentication zone separation rationale,textarea,TRUE,Explain why separate AD/LDAP is used...,[],4,,4,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"Amazon VPC, AWS Config","Amazon VPC, AWS Config","While AWS (Amazon VPC, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
4e55c05e-2366-4cdb-aad1-0a51c5a2f299,A6,shared_component_risk,Shared components/services risk assessment,textarea,TRUE,Document any shared components crossing zone boundaries...,[],5,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"Amazon VPC, AWS Config","Amazon VPC, AWS Config","While AWS (Amazon VPC, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
52cee825-05fd-4b3b-a79f-6c223d96f5b5,A6,co_hosting_justification,Co-hosting decisions,textarea,TRUE,If any non-SWIFT systems exist in the secure zone...,[],6,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"Amazon VPC, AWS Config","Amazon VPC, AWS Config","While AWS (Amazon VPC, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
be70b2cd-50f6-4c0b-ae79-15abe0a25d43,A6,customer_zone_rationale,Customer connector zone design rationale (A1 only),textarea,TRUE,Explain customer connector zone design choices...,[],7,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"Amazon VPC, AWS Config","Amazon VPC, AWS Config","While AWS (Amazon VPC, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
58ab63e1-a84e-4810-bd20-415155244cc4,A6,customer_zone_equivalence,Customer zone equivalent protection justification (A1 only),textarea,TRUE,Explain how customer zone achieves equivalent protection...,[],8,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"Amazon VPC, AWS Config","Amazon VPC, AWS Config","While AWS (Amazon VPC, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
626d709b-c5af-47ec-ab11-18bdeb5c527e,B1,evidence_document,Upload OS hardening config / screenshots,file,FALSE,,[],0,,,,Drop OS config exports or click to upload,2025v,2026-03-11T07:57:00.243642Z,,,[],Document/File Upload,AWS + Human,Mixed,HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM Inventory, SSM Compliance vs CIS Baseline, Inspector OS CVEs — ssm:ListComplianceItems, ListInventoryEntries, inspector2:ListFindings","AWS (AWS SSM, Amazon Inspector, AWS Config) can auto-generate the underlying configuration snapshot. However, a formatted, dated, human-reviewed document/file is still required for formal submission. AWS evidence supplements and validates the upload."
8ed27c60-9d22-442c-b818-2371a5341510,B1,hardening_baseline_name,"Hardening baseline applied (CIS, DISA STIG, NIST, vendor)",text,TRUE,e.g. CIS Windows Server 2019 Benchmark v2.0...,[],1,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Short text / identifier / value,Human,Manual (Human),HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM, Amazon Inspector, AWS Config","Although AWS (AWS SSM, Amazon Inspector, AWS Config) covers this domain, this specific field requests human judgment, policy confirmation, documentation attestation, or a process decision that AWS APIs cannot supply."
c5034f80-9234-489d-9348-bd9671204b35,B1,builtin_admin_status,Built-in administrator account status,select,TRUE,,"[""Disabled/restricted"", ""Emergency only"", ""In use"", ""Not documented""]",2,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM Inventory (Windows local users), Config: iam-root-access-key-check — ssm:ListInventoryEntries (AWS:WindowsUser), config:GetComplianceDetailsByConfigRule","AWS (AWS SSM, Amazon Inspector, AWS Config) can automatically retrieve this configuration state. APIs: ssm:ListComplianceItems, ListInventoryEntries, inspector2:ListFindings."
f7875dc6-4acd-4b8f-b6b3-73ecc2ac175f,B1,individual_admin_confirmed,Individual admin accounts with escalation (sudo) configured?,select,TRUE,,"[""Yes"", ""No"", ""Partial""]",3,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM Inventory (local admin group membership), IAM — ssm:ListInventoryEntries (AWS:WindowsGroup), iam:ListUsers","AWS (AWS SSM, Amazon Inspector, AWS Config) can automatically retrieve this configuration state. APIs: ssm:ListComplianceItems, ListInventoryEntries, inspector2:ListFindings."
46e8e6bf-6f29-499e-ad93-8da0112b2528,B1,privilege_elevation_logging,Privilege elevation logging enabled?,select,TRUE,,"[""Yes"", ""No""]",4,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"AWS SSM, Amazon Inspector, AWS Config","CloudTrail (sudo/UAC events), SSM Inventory — cloudtrail:LookupEvents, ssm:ListInventoryEntries","AWS (AWS SSM, Amazon Inspector, AWS Config) can automatically retrieve this configuration state. APIs: ssm:ListComplianceItems, ListInventoryEntries, inspector2:ListFindings."
f38e189f-6ac4-427e-bca7-bb948d09bc98,B1,password_storage_zone_local,Admin passwords stored in zone-local directory (not enterprise AD)?,select,TRUE,,"[""Yes"", ""No"", ""Hybrid""]",5,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"AWS SSM, Amazon Inspector, AWS Config","IAM, SSM Compliance — iam:GetAccountAuthorizationDetails, ssm:ListComplianceItems","AWS (AWS SSM, Amazon Inspector, AWS Config) can automatically retrieve this configuration state. APIs: ssm:ListComplianceItems, ListInventoryEntries, inspector2:ListFindings."
7eb015c4-5cdf-49f1-984e-20c740cb3ee4,B1,network_device_admin_access,Network device admin access method,textarea,TRUE,Describe admin access method for network devices...,[],6,,2,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM, Amazon Inspector, AWS Config","While AWS (AWS SSM, Amazon Inspector, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
f425bd8b-d934-46a2-a09a-cc1d0d51de64,B1,default_passwords_changed,Default passwords changed on all systems?,select,TRUE,,"[""Yes"", ""No"", ""Partial""]",7,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM Compliance vs CIS Baseline, Config: iam-user-no-policies — ssm:ListComplianceItems, config:GetComplianceDetailsByConfigRule","AWS (AWS SSM, Amazon Inspector, AWS Config) can automatically retrieve this configuration state. APIs: ssm:ListComplianceItems, ListInventoryEntries, inspector2:ListFindings."
dc9238d7-0926-4425-94a2-259e348ed526,B1,autolock_configured,Auto-lock configured (≤15 min)?,select,TRUE,,"[""Yes"", ""No"", ""Partial""]",8,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM Inventory (Windows GPO / screensaver policy), SSM Compliance — ssm:ListInventoryEntries (AWS:WindowsRegistry)","AWS (AWS SSM, Amazon Inspector, AWS Config) can automatically retrieve this configuration state. APIs: ssm:ListComplianceItems, ListInventoryEntries, inspector2:ListFindings."
4f3addb8-01f7-4065-b4d0-006829e20a54,B1,usb_ports_restricted,USB / physical ports restricted?,select,TRUE,,"[""Yes"", ""No"", ""Partial""]",9,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM Inventory (Windows registry: USB policy), SSM Compliance — ssm:ListInventoryEntries (AWS:WindowsRegistry)","AWS (AWS SSM, Amazon Inspector, AWS Config) can automatically retrieve this configuration state. APIs: ssm:ListComplianceItems, ListInventoryEntries, inspector2:ListFindings."
dbefed2f-8912-4250-9bf5-3009d5a9f3be,B1,hardening_check_dates,Last two hardening check dates,text,TRUE,Provide dates of the last two hardening checks...,[],10,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Short text / identifier / value,Human,Manual (Human),HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM, Amazon Inspector, AWS Config","Review, approval, and policy dates are institutional records that must be confirmed by a responsible human owner."
176182f5-28cb-468c-9a6e-384d168dbd4f,B1,deviations_documented,Deviations from baseline with justification,textarea,FALSE,List each deviation with justification...,[],11,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM, Amazon Inspector, AWS Config","While AWS (AWS SSM, Amazon Inspector, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
0f5c493e-3b62-43e9-b1d5-b94628b9dc73,B1,known_gaps,Known gaps and remediation plan,textarea,FALSE,Document any gaps in hardening coverage...,[],12,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"AWS SSM, Amazon Inspector, AWS Config","SSM, Amazon Inspector, AWS Config","While AWS (AWS SSM, Amazon Inspector, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
6d000cb3-5d9b-4fcf-bdeb-29906052407c,B2,evidence_document,Upload B2 evidence,file,FALSE,,[],0,,,,Drop files or click to upload,2025v,2026-03-11T07:57:00.243642Z,,,[],Document/File Upload,Human,Manual (Human),NONE,,"N/A — SWIFT application layer, not AWS-visible","SWIFT application security configuration (Alliance Messaging Hub, SAG, SNL) lives inside the SWIFT application stack, not visible to AWS infrastructure APIs. The uploaded document must be provided manually."
5f63f025-11d5-4db8-9a9f-8dea20a1b9c2,B2,app_security_baseline,Application security baseline,text,TRUE,,[],1,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text entry / configuration detail,Human,Manual (Human),NONE,,N/A — Human input required,Text entry questions require human-provided configuration details or policy information.
92fead78-778f-4050-9615-23f9999f0558,B2,session_encryption,Session encryption status,select,TRUE,,"[""Yes"", ""No"", ""Partial""]",2,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),Human,Manual (Human),NONE,,N/A — Human attestation required,Selection/confirmation questions require human attestation of current status or policy decisions.
e41f2b49-9361-4448-8676-e0af58db60ae,B2,known_gaps,Known gaps,textarea,TRUE,,[],3,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),NONE,,"N/A — SWIFT application layer, not AWS-visible","SWIFT application security configuration (Alliance Messaging Hub, SAG, SNL) lives inside the SWIFT application stack, not visible to AWS infrastructure APIs. Narrative, description, and justification text must be written by a qualified human reviewer."
735a0afc-30b8-4bd8-b97c-324aa22cfede,B3,evidence_document,Upload B3 evidence,file,FALSE,,[],0,,,,Drop files or click to upload,2025v,2026-03-11T07:57:00.243642Z,,,[],Document/File Upload,AWS + Human,Mixed,HIGH,"AWS KMS, AWS ACM, ELB, AWS Config","KMS Keys, ACM Certs, ELB TLS, RDS/S3/EBS Encryption — kms:ListKeys, acm:ListCertificates, elbv2:DescribeListeners, rds:DescribeDBInstances","AWS (AWS KMS, AWS ACM, ELB, AWS Config) can auto-generate the underlying configuration snapshot. However, a formatted, dated, human-reviewed document/file is still required for formal submission. AWS evidence supplements and validates the upload."
116865b8-ae19-498e-b98f-5d3fc620c5e5,B3,encryption_summary,Encryption configuration summary,textarea,TRUE,,[],1,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),NONE,,N/A — Human narrative required,"Narrative fields require human-authored explanation of scope, rationale, or contextual description."
1b08af01-d316-418b-a865-82920a485c33,B3,key_management,Key management approach,select,TRUE,,"[""Yes"", ""No"", ""Partial""]",2,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),Human,Manual (Human),NONE,,N/A — Human attestation required,Selection/confirmation questions require human attestation of current status or policy decisions.
